road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Central Expressway,Y,4,10,58.4,54.5,59.0,Mist,0,6
Bukit Timah Expressway,Y,5,10,75.0,78.4,77.3,Clear,0,8
Central Expressway,Y,6,1,49.7,47.7,55.8,Rain,0,5
Clementi Avenue 3,C,5,4,32.7,34.0,43.4,Mist,0,4
Kallang Paya Lebar Expressway,Y,6,8,59.2,56.7,55.1,Drizzle,0,7
Woodlands Avenue 12,B,1,19,12.7,13.4,13.3,Rain,1,2
East Coast Parkway,Y,4,3,40.3,42.2,33.0,Thunderstorm,0,4
Orchard Road,B,3,13,28.4,31.3,20.0,Rain,0,3
Orchard Road,B,3,13,21.2,19.8,25.5,Thunderstorm,0,3
Woodlands Avenue 12,B,0,5,38.7,40.8,36.6,Mist,0,4
Woodlands Avenue 12,B,2,9,3.9,2.8,2.0,Thunderstorm,1,1
Clementi Avenue 3,C,6,12,40.0,39.7,37.9,Clouds,0,4
Upper Thomson Road,B,6,2,45.1,42.4,43.2,Drizzle,0,6
East Coast Parkway,Y,1,17,40.5,39.5,44.7,Mist,1,4
Clementi Avenue 3,C,5,13,35.0,33.4,36.2,Drizzle,0,4
Ayer Rajah Expressway,Y,0,15,42.2,46.3,46.4,Thunderstorm,0,5
Clementi Avenue 3,C,1,14,40.0,35.9,43.2,Clear,0,4
Ayer Rajah Expressway,Y,2,11,67.6,76.3,69.7,Haze,0,7
Orchard Road,B,5,6,30.1,29.7,35.4,Rain,0,4
Orchard Road,B,2,13,45.0,50.3,45.7,Clear,0,5
Upper Thomson Road,B,6,5,50.0,47.5,54.2,Haze,0,5
East Coast Parkway,Y,4,6,68.8,70.1,66.5,Haze,0,7
Woodlands Avenue 12,B,1,21,40.2,41.1,46.7,Haze,0,5
Seletar Expressway,Y,2,8,23.9,20.2,17.1,Thunderstorm,1,4
Central Expressway,Y,6,3,63.5,60.8,66.7,Mist,0,7
Bukit Timah Expressway,Y,3,3,52.1,54.0,41.8,Rain,0,6
Bedok North Avenue 3,C,5,13,23.3,19.3,23.5,Thunderstorm,0,3
Woodlands Avenue 12,B,0,11,37.6,35.5,36.5,Drizzle,0,4
Ayer Rajah Expressway,Y,5,2,46.4,52.0,42.1,Thunderstorm,0,5
Kallang Paya Lebar Expressway,Y,4,18,31.0,29.0,20.3,Rain,1,4
Tampines Avenue 10,B,6,20,21.9,21.6,13.1,Thunderstorm,0,2
Bukit Timah Expressway,Y,1,5,75.0,71.5,73.2,Clouds,0,8
Ayer Rajah Expressway,Y,2,7,51.0,49.9,50.3,Mist,1,5
Orchard Road,B,4,1,43.3,46.3,44.1,Clear,0,5
Woodlands Avenue 12,B,5,21,27.1,33.4,35.0,Rain,0,3
Tampines Expressway,Y,0,8,50.8,51.6,53.2,Clear,1,5
Nicoll Highway,B,5,21,46.3,46.5,44.8,Mist,0,5
Nicoll Highway,B,2,12,35.1,35.6,36.6,Rain,0,4
Kallang Paya Lebar Expressway,Y,1,10,54.0,53.0,53.7,Rain,0,5
East Coast Parkway,Y,5,22,65.9,67.2,74.6,Drizzle,0,7
East Coast Parkway,Y,3,12,68.3,64.8,72.2,Mist,0,7
Woodlands Avenue 12,B,4,2,17.1,16.9,11.2,Thunderstorm,0,2
Kallang Paya Lebar Expressway,Y,3,18,14.2,10.6,10.8,Thunderstorm,1,2
Central Expressway,Y,0,13,51.5,52.7,59.6,Rain,0,5
Ayer Rajah Expressway,Y,5,2,68.6,71.1,65.7,Haze,0,8
Clementi Avenue 3,C,5,21,28.9,28.5,28.1,Drizzle,0,4
Central Expressway,Y,3,10,66.9,64.4,67.9,Haze,0,8
Ayer Rajah Expressway,Y,4,23,66.4,73.4,65.4,Drizzle,0,6
Bukit Timah Expressway,Y,0,16,37.6,33.8,29.6,Thunderstorm,0,4
Pan Island Expressway,Y,3,22,55.3,55.5,52.9,Drizzle,0,6
Pan Island Expressway,Y,4,23,78.5,79.2,81.2,Clear,0,8
Kallang Paya Lebar Expressway,Y,5,18,76.0,75.2,75.4,Clouds,0,8
Nicoll Highway,B,6,19,29.8,32.0,28.4,Thunderstorm,0,4
Nicoll Highway,B,5,20,31.1,31.4,26.9,Thunderstorm,0,3
Nicoll Highway,B,0,4,51.8,47.7,53.8,Mist,0,5
Pan Island Expressway,Y,1,21,71.6,70.0,66.3,Clear,0,7
Orchard Road,B,1,15,38.6,37.6,31.2,Mist,0,5
East Coast Parkway,Y,3,22,44.9,50.8,55.3,Thunderstorm,0,5
Woodlands Avenue 12,B,0,7,29.0,29.9,24.8,Clouds,1,3
Woodlands Avenue 12,B,4,7,16.7,20.0,11.9,Thunderstorm,1,2
Orchard Road,B,3,15,20.9,24.1,15.2,Thunderstorm,0,3
Bukit Timah Expressway,Y,6,12,63.4,63.2,62.5,Drizzle,0,7
East Coast Parkway,Y,3,20,39.3,42.6,41.1,Drizzle,1,4
Orchard Road,B,3,4,37.5,31.5,30.0,Drizzle,0,5
Clementi Avenue 3,C,1,14,36.8,44.1,39.0,Clouds,0,4
Tampines Avenue 10,B,1,16,25.4,27.8,27.1,Thunderstorm,0,3
Clementi Avenue 3,C,2,20,19.3,23.3,18.3,Clouds,1,3
Nicoll Highway,B,2,1,46.2,45.1,41.5,Drizzle,0,5
Woodlands Avenue 12,B,4,5,45.0,37.8,41.1,Clear,0,4
Nicoll Highway,B,5,15,46.2,46.8,41.2,Mist,0,5
Bedok North Avenue 3,C,6,20,35.9,35.6,34.4,Drizzle,0,4
Central Expressway,Y,2,8,38.2,38.0,39.9,Mist,1,4
Seletar Expressway,Y,0,8,47.5,49.1,48.4,Clouds,1,5
Orchard Road,B,2,6,40.2,44.2,46.4,Clear,0,4
Upper Thomson Road,B,3,17,23.1,25.2,33.1,Haze,1,2
Upper Thomson Road,B,6,15,35.0,40.5,26.7,Rain,0,3
Bukit Timah Expressway,Y,6,11,56.3,57.8,53.4,Mist,0,7
East Coast Parkway,Y,3,19,26.9,21.8,29.6,Rain,1,3
Bedok North Avenue 3,C,5,17,17.4,19.5,18.6,Thunderstorm,0,2
Central Expressway,Y,1,20,21.3,22.7,18.6,Thunderstorm,1,2
Upper Thomson Road,B,1,5,28.4,27.2,18.7,Thunderstorm,0,3
Central Expressway,Y,3,21,69.6,65.1,73.1,Clouds,0,8
Upper Thomson Road,B,5,9,38.9,39.4,36.9,Drizzle,0,5
Seletar Expressway,Y,0,8,55.1,52.5,56.0,Clear,1,6
Kallang Paya Lebar Expressway,Y,6,23,59.7,59.5,51.2,Drizzle,0,6
Bedok North Avenue 3,C,2,12,33.6,31.5,27.0,Haze,0,4
Ayer Rajah Expressway,Y,2,20,53.0,52.5,57.1,Clouds,1,6
Woodlands Avenue 12,B,4,16,39.4,38.0,43.4,Haze,0,5
Kallang Paya Lebar Expressway,Y,2,22,40.1,33.3,36.0,Thunderstorm,0,4
Pan Island Expressway,Y,4,1,77.0,76.3,71.8,Clouds,0,8
Tampines Avenue 10,B,6,16,45.8,47.7,45.7,Clear,0,5
Kallang Paya Lebar Expressway,Y,1,0,63.6,65.7,61.8,Haze,0,6
Bukit Timah Expressway,Y,1,7,48.4,52.8,49.8,Clouds,1,6
Bukit Timah Expressway,Y,3,11,69.2,68.6,70.6,Clear,0,7
